"pfd_period_no","wk","qty_fc"
"202345",WK2345,600000
"202345",WK2346,200000
"202345",WK2347,24200
"202345",WK2348,116608
"202345",WK2349,72688
"202345",WK2350,142880
"202345",WK2351,128472
"202345",WK2352,396416
"202345",WK2401,277856
"202345",WK2402,373920
"202345",WK2403,267064
"202345",WK2404,96976
"202345",WK2405,43320
"202345",WK2406,334552
"202345",WK2407,109668
"202345",WK2409,0
"202345",WK2410,0
"202345",WK2411,0
"202345",WK2412,0
"202346",WK2346,400000
"202346",WK2347,300000
"202346",WK2348,400000
"202346",WK2349,224200
"202346",WK2350,142880
"202346",WK2351,148472
"202346",WK2352,352216
"202346",WK2401,302056
"202346",WK2402,273920
"202346",WK2403,139664
"202346",WK2404,88976
"202346",WK2405,35220
"202346",WK2406,350652
"202346",WK2407,85570
"202346",WK2409,0
"202346",WK2410,0
"202346",WK2411,0
"202346",WK2412,0
"202347",WK2347,300000
"202347",WK2348,400000
"202347",WK2349,224200
"202347",WK2350,142880
"202347",WK2351,148472
"202347",WK2352,352216
"202347",WK2401,302056
"202347",WK2402,273920
"202347",WK2403,139664
"202347",WK2404,88976
"202347",WK2405,35220
"202347",WK2406,350652
"202347",WK2407,85570
"202348",WK2348,360000
"202348",WK2349,200000
"202348",WK2350,100000
"202348",WK2351,128000
"202348",WK2352,328000
"202348",WK2401,259920
"202348",WK2402,178200
"202348",WK2403,127471
"202348",WK2404,9400
"202348",WK2406,208088
"202348",WK2407,104044
"202348",WK2408,44992
"202348",WK2410,0
"202348",WK2413,258304
"202348",WK2414,200902
"202348",WK2415,172204
"202349",WK2350,510000
"202349",WK2351,128000
"202349",WK2352,328000
"202349",WK2401,259920
"202349",WK2402,178200
"202349",WK2403,127471
"202349",WK2404,9400
"202349",WK2406,208088
"202349",WK2407,104044
"202349",WK2408,44992
"202349",WK2410,0
"202349",WK2413,258304
"202349",WK2414,200902
"202349",WK2415,172204
"202349",WK2416,172202
"202350",WK2350,510000
"202350",WK2351,510000
"202350",WK2352,128000
"202350",WK2401,328000
"202350",WK2402,259920
"202350",WK2403,178200
"202350",WK2404,127471
"202350",WK2405,9400
"202350",WK2406,208088
"202350",WK2407,208088
"202350",WK2408,104044
"202350",WK2409,44992
"202350",WK2410,0
"202350",WK2411,0
"202350",WK2413,258304
"202350",WK2414,258304
"202350",WK2415,200902
"202350",WK2416,172204
"202350",WK2417,172202
"202351",WK2351,390640
"202351",WK2352,200000
"202351",WK2401,150000
"202351",WK2402,150000
"202351",WK2403,170025
"202351",WK2404,51832
"202351",WK2405,13680
"202351",WK2406,266912
"202351",WK2408,250040
"202351",WK2409,222000
"202351",WK2411,278160
"202351",WK2412,221920
"202351",WK2413,221920
"202351",WK2414,203680
"202351",WK2415,199424
"202351",WK2416,160056
"202351",WK2417,176928
"202351",WK2418,137560
"202352",WK2401,300000
"202352",WK2402,200000
"202352",WK2403,170025
"202352",WK2404,51832
"202352",WK2405,13680
"202352",WK2406,266912
"202352",WK2408,250040
"202352",WK2409,222000
"202352",WK2411,278160
"202352",WK2412,221920
"202352",WK2413,221920
"202352",WK2414,203680
"202352",WK2415,199424
"202352",WK2416,160056
"202352",WK2417,176928
"202352",WK2418,137560
"202352",WK2419,109440
"202402",WK2402,300000
"202402",WK2403,110025
"202402",WK2404,51832
"202402",WK2405,13680
"202402",WK2406,266912
"202402",WK2408,250040
"202402",WK2409,222000
"202402",WK2411,278160
"202402",WK2412,221920
"202402",WK2413,221920
"202402",WK2414,203680
"202402",WK2415,199424
"202402",WK2416,160056
"202402",WK2417,176928
"202402",WK2418,137560
"202402",WK2419,109440
"202402",WK2420,109440
"202402",WK2421,109440
"202403",WK2403,110025
"202403",WK2405,115512
"202403",WK2406,42449
"202403",WK2407,224543
"202403",WK2408,250040
"202403",WK2409,221920
"202403",WK2411,278160
"202403",WK2412,221920
"202403",WK2413,221920
"202403",WK2414,203680
"202403",WK2415,199424
"202403",WK2416,160056
"202403",WK2417,176928
"202403",WK2418,137560
"202403",WK2419,109440
"202403",WK2420,109440
"202403",WK2421,109440
"202403",WK2422,109440
"202404",WK2404,340000
"202404",WK2405,187000
"202404",WK2407,187000
"202404",WK2408,187000
"202404",WK2411,51070
"202404",WK2412,176928
"202404",WK2413,221920
"202404",WK2414,203680
"202404",WK2415,199424
"202404",WK2416,63840
"202404",WK2417,148808
"202404",WK2418,154432
"202404",WK2419,179740
"202404",WK2420,109440
"202404",WK2421,109440
"202404",WK2422,109440
"202404",WK2423,91200
"202405",WK2405,118000
"202405",WK2407,312000
"202405",WK2408,250000
"202405",WK2409,312000
"202405",WK2412,157381
"202405",WK2413,221920
"202405",WK2414,203680
"202405",WK2415,199424
"202405",WK2416,63840
"202405",WK2417,148808
"202405",WK2418,154432
"202405",WK2419,179740
"202405",WK2420,109440
"202405",WK2421,109440
"202405",WK2422,109440
"202405",WK2423,91200
"202405",WK2424,314638
"202406",WK2407,312000
"202406",WK2408,250213
"202406",WK2409,155787
"202406",WK2411,136453
"202406",WK2412,176928
"202406",WK2413,221920
"202406",WK2414,203680
"202406",WK2415,199424
"202406",WK2416,63840
"202406",WK2417,148808
"202406",WK2418,154432
"202406",WK2419,179740
"202406",WK2420,109440
"202406",WK2421,109440
"202406",WK2422,109440
"202406",WK2423,91200
"202407",WK2407,312000
"202407",WK2408,250213
"202407",WK2409,155787
"202407",WK2411,136453
"202407",WK2412,176928
"202407",WK2413,221920
"202407",WK2414,203680
"202407",WK2415,199424
"202407",WK2416,63840
"202407",WK2417,148808
"202407",WK2418,154432
"202407",WK2419,179740
"202407",WK2420,109440
"202407",WK2421,109440
"202407",WK2422,109440
"202407",WK2423,91200
"202408",WK2408,562213
"202408",WK2409,155787
"202408",WK2411,136453
"202408",WK2412,176928
"202408",WK2413,221920
"202408",WK2414,203680
"202408",WK2415,199424
"202408",WK2416,63840
"202408",WK2417,148808
"202408",WK2418,154432
"202408",WK2419,179740
"202408",WK2420,109440
"202408",WK2421,109440
"202408",WK2422,109440
"202408",WK2423,91200
"202409",WK2409,563064
"202409",WK2410,154936
"202409",WK2411,136453
"202409",WK2412,176928
"202409",WK2413,221920
"202409",WK2414,203680
"202409",WK2415,199424
"202409",WK2416,63840
"202409",WK2417,148808
"202409",WK2418,154432
"202409",WK2419,179740
"202409",WK2420,109440
"202409",WK2421,109440
"202409",WK2422,109440
"202409",WK2423,91200
"202409",WK2426,246454
"202409",WK2427,203010
"202409",WK2428,178173
"202410",WK2410,404413
"202410",WK2411,250040
"202410",WK2412,176928
"202410",WK2413,221920
"202410",WK2414,181184
"202410",WK2415,199424
"202410",WK2416,72960
"202410",WK2417,165680
"202410",WK2418,154432
"202410",WK2419,143184
"202410",WK2420,73036
"202410",WK2421,22496
"202410",WK2422,0
"202410",WK2423,0
"202410",WK2424,0
"202410",WK2425,0
"202410",WK2426,219660
"202410",WK2427,205390
"202410",WK2428,166917
"202410",WK2429,154816
"202411",WK2411,404453
"202411",WK2412,182600
"202411",WK2413,221920
"202411",WK2414,181184
"202411",WK2415,199424
"202411",WK2416,72960
"202411",WK2417,165680
"202411",WK2418,154432
"202411",WK2419,143184
"202411",WK2420,73036
"202411",WK2421,22496
"202411",WK2422,0
"202411",WK2423,0
"202411",WK2424,0
"202411",WK2425,0
"202411",WK2426,219660
"202411",WK2427,205390
"202411",WK2428,166917
"202411",WK2429,154816
"202411",WK2430,121002
"202412",WK2412,337053
"202412",WK2413,221920
"202412",WK2414,181184
"202412",WK2415,199424
"202412",WK2416,72960
"202412",WK2417,165680
"202412",WK2418,154432
"202412",WK2419,143184
"202412",WK2420,73036
"202412",WK2421,22496
"202412",WK2422,0
"202412",WK2423,0
"202412",WK2424,0
"202412",WK2425,0
"202412",WK2426,217103
"202412",WK2427,205437
"202412",WK2428,166956
"202412",WK2429,154852
"202412",WK2430,121033
"202412",WK2431,121034
"202413",WK2413,558973
"202413",WK2414,181184
"202413",WK2415,199424
"202413",WK2416,72960
"202413",WK2417,165680
"202413",WK2418,154432
"202413",WK2419,143184
"202413",WK2420,73036
"202413",WK2421,22496
"202413",WK2422,0
"202413",WK2423,0
"202413",WK2424,0
"202413",WK2425,0
"202413",WK2426,217103
"202413",WK2427,205437
"202413",WK2428,166956
"202413",WK2429,154852
"202413",WK2430,121033
"202413",WK2431,121034
"202413",WK2432,121033
"202414",WK2414,425157
"202414",WK2415,199424
"202414",WK2416,72960
"202414",WK2417,165680
"202414",WK2418,154432
"202414",WK2419,143184
"202414",WK2420,73036
"202414",WK2421,22496
"202414",WK2422,0
"202414",WK2423,0
"202414",WK2424,0
"202414",WK2425,0
"202414",WK2426,193655
"202414",WK2427,181552
"202414",WK2428,145242
"202414",WK2429,133139
"202414",WK2430,121034
"202414",WK2431,121034
"202414",WK2432,119397
"202414",WK2433,121036
"202415",WK2415,504581
"202415",WK2416,206000
"202415",WK2417,186341
"202415",WK2418,156000
"202415",WK2419,248000
"202415",WK2420,439085
"202415",WK2421,209862
"202415",WK2422,172064
"202415",WK2423,194560
"202415",WK2424,194560
"202415",WK2425,196080
"202415",WK2426,140600
"202415",WK2427,140600
"202415",WK2428,140600
"202415",WK2429,140600
"202415",WK2430,112480
"202415",WK2431,112480
"202415",WK2432,112480
"202415",WK2433,95608
"202415",WK2434,95608
"202416",WK2416,348000
"202416",WK2417,308922
"202416",WK2418,156000
"202416",WK2419,248000
"202416",WK2420,439085
"202416",WK2421,209862
"202416",WK2422,172064
"202416",WK2423,194560
"202416",WK2424,194560
"202416",WK2425,196080
"202416",WK2426,140600
"202416",WK2427,140600
"202416",WK2428,140600
"202416",WK2429,140600
"202416",WK2430,112480
"202416",WK2431,112480
"202416",WK2432,112480
"202416",WK2433,95608
"202416",WK2434,95608
"202416",WK2435,95608
"202417",WK2417,656922
"202417",WK2418,156000
"202417",WK2419,248000
"202417",WK2420,439085
"202417",WK2421,209862
"202417",WK2422,172064
"202417",WK2423,194560
"202417",WK2424,194560
"202417",WK2425,196080
"202417",WK2426,140600
"202417",WK2427,140600
"202417",WK2428,140600
"202417",WK2429,140600
"202417",WK2430,112480
"202417",WK2431,112480
"202417",WK2432,112480
"202417",WK2433,95608
"202417",WK2434,95608
"202417",WK2435,95608
"202417",WK2436,95608
